"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"1","Spencer Robarge","Wichita State University","54","225.704","9","1","6","6","8","183.381","42.322"
"2","Bryce Oliver","Pikeville ,University Of","54","224.648","12","3","9","10","11","185.926","38.722"
"3","C. J. Petrin","Oklahoma Christian University","54","224.463","9","3","5","7","9","183.68","40.783"
"4","Brandon Haney","Indiana Institute Of Technology","58","219.121","12","3","4","5","10","187.02","32.1"
"5","Jason Gee","California-Davis ,University Of","52","218.692","10","4","5","6","8","181.197","37.495"
"6","Alexander Horton","Indiana Institute Of Technology","55","218.255","12","1","2","4","10","186.822","31.433"
"7","Noah Samuels","Lawrence Technological University","52","217.558","13","1","3","7","10","184.813","32.745"
"8","Ryan Barnes","Wichita State University","53","216.604","9","2","4","4","6","183.523","33.081"
"9","Jarin Kurashige","Lawrence Technological University","40","215.65","12","1","2","2","4","185.624","30.026"
"10","Ken Kloth","Madonna University","49","214.796","12","0","3","6","9","184.398","30.398"
"11","Terrance (T.J.) Rock","Wichita State University","54","214.519","9","0","3","4","7","183.381","31.137"
"12","Rory Clark","Marian University (WI)","63","214.254","12","2","4","6","9","178.207","36.047"
"13","Michael Harmon","Saint Xavier University","55","214.091","10","2","3","4","6","183.05","31.041"
"14","Garrett Meadows","Wisc.-Whitewater","63","214","12","1","5","6","10","182.106","31.894"
"15","Evan Thro","Muskingum University","49","213.837","10","0","3","5","5","183.23","30.607"
"16","Julian Salinas","Savannah College Of Art And Design-Savannah","49","213.265","10","2","3","3","5","183.562","29.704"
"17","Nate Trentler","Milligan University","47","213.255","10","0","3","4","7","187.097","26.158"
"18","Nolan Blessing","Marian University (IN)","53","213.057","11","1","5","7","10","183.68","29.377"
"19","Zach Greim","St. Ambrose University","41","212.683","8","0","2","4","6","182.598","30.085"
"20","Zach Andresen","Mount Mercy University","54","212.5","10","1","4","5","6","183.05","29.45"
"21","Joseph Devita","Michigan-Dearborn","47","212","11","2","4","5","8","184.369","27.631"
"22","Kai Yamada","Mount Mercy University","52","211.923","10","1","4","4","6","182.905","29.019"
"23","Nicholas Luther","Davenport University","69","211.884","13","0","2","4","10","184.184","27.7"
"24","Noah Akiona","Newman University","75","211.533","12","0","2","7","10","183.096","28.437"
"25","Brandon Bohn","Webber International University","45","211.489","11","0","2","2","3","184.607","26.882"
"26","Brody Wildenmann","Muskingum University","58","211.448","11","0","2","5","8","183.313","28.135"
"27","Bobby Habetler","Saint Xavier University","59","210.678","10","0","3","5","7","182.988","27.689"
"28","Brett Lloyd","Webber International University","44","210.25","11","1","1","1","1","183.587","26.663"
"29","Connor Breaman","Belmont Abbey College","51","210.118","10","1","2","2","7","187.06","23.058"
"30","Ryan Dreikosen","Marian University (WI)","56","210.107","12","1","5","5","7","177.707","32.4"
"31","Cole Munley","Newman University","49","209.959","11","0","0","2","3","184.524","25.435"
