"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"1","Lauren Tomaszewski","North Carolina A&T","41","216.073","7","1","3","5","6","190.219","25.854"
"2","Jaqueline Witura","Webber International University","58","208.362","11","3","6","6","11","172.064","36.298"
"3","Allie Leiendecker","Louisiana Tech University","50","208.06","10","1","2","2","8","188.565","19.495"
"4","Patricia Rosales","Louisiana Tech University","50","207.02","10","1","2","3","5","188.755","18.265"
"5","Linda Himes","Webber International University","47","206.149","11","1","6","8","8","171.87","34.279"
"6","Maya Avilez","North Carolina A&T","40","206.075","7","0","0","1","5","190.414","15.661"
"7","Abbie Leiendecker","Louisiana Tech University","45","205.511","9","0","2","2","4","188.708","16.803"
"8","Mary Orf","Wichita State University","52","205.442","9","1","3","6","7","170.398","35.044"
"9","Brystal Beyer","Stephen F. Austin State University","47","205.426","9","0","1","3","7","187.661","17.764"
"10","Lara Kurt","Savannah College Of Art And Design-Savannah","50","204.64","10","1","5","5","8","169.473","35.167"
"11","Kylee Trexler","Louisiana Tech University","48","204.542","10","0","1","1","3","188.699","15.843"
"12","Brooke Salzman","Mount Mercy University","51","204.49","10","2","4","6","8","167.581","36.909"
"13","Juliana Kerrigan","Stephen F. Austin State University","43","204.465","9","1","3","3","5","187.536","16.929"
"14","Ashtyn Woods","Wichita State University","46","203.87","8","1","4","4","6","171.548","32.322"
"15","Kristen Derr","Tulane University","41","203.634","8","0","0","3","7","184.737","18.897"
"16","Anna Maxwell","Maryville University","47","203.149","9","0","2","4","6","185.255","17.893"
"17","Kinsey Miller","Baker University","59","201.763","10","2","5","8","10","167.614","34.149"
"18","Kristina Catoe","Pikeville ,University Of","58","201.224","12","2","5","8","12","170.098","31.126"
"19","Megan Kolberg","Mount Mercy University","42","201.024","10","1","4","6","6","166.691","34.333"
"20","Rachel Moore","Culver-Stockton College","55","200.291","10","2","7","7","8","167.5","32.791"
"21","Morgan Nunn","Indiana Institute Of Technology","58","200.103","12","1","6","6","11","170.49","29.614"
"22","Kiara Abanto","University of the Cumberlands","53","198.962","10","1","2","6","7","169.671","29.291"
"23","Danielle Jedlicki","Louisiana Tech University","47","198.915","10","0","0","0","1","188.94","9.975"
"24","Kelsey Cummings","Pikeville ,University Of","42","198.81","11","1","2","3","4","171.568","27.242"
"25","Vanessa Fuzie","Pikeville ,University Of","46","197.913","10","1","2","5","7","170.065","27.848"
"26","Hannah Klein","Notre Dame College","48","197.813","10","2","4","4","8","167.168","30.645"
"27","Kayla Tafanelli","Spring Arbor University","54","197.13","13","4","6","7","8","163.248","33.881"
"28","Addy Nelson","Savannah College Of Art And Design-Savannah","43","196.86","10","0","3","3","5","169.236","27.624"
"29","Jenna Williams","Webber International University","50","196.54","9","0","0","5","5","172.011","24.529"
"30","Madison Colston","Alabama-Birmingham ,University Of","40","196.1","7","0","0","2","5","183.516","12.584"
"31","Piper Reams","Wichita State University","54","195.611","9","0","1","4","8","169.943","25.668"
"32","Emaly Kruse","Morningside University","54","195.352","9","1","3","7","8","165.766","29.586"
"33","Tandess O'neal","Marian University (IN)","53","195.132","11","2","5","7","9","165.855","29.278"
"34","Karine Bouchard","Davenport University","52","195.038","10","1","3","4","8","167.954","27.085"
"35","Lexus Petrich","McKendree University","47","194.979","9","0","1","3","5","177.693","17.286"
"36","Brooklyn Gagnon","Wichita State University","51","194.51","9","1","3","3","4","169.828","24.682"
"37","Keagan Trexler","Alabama-Birmingham ,University Of","40","194.4","7","0","2","3","5","183.516","10.884"
"38","Chloe Siezega","Judson University","49","194.184","9","0","3","4","5","166.353","27.831"
"39","Rachel Nelson","Wisc.-Whitewater","45","193.6","8","0","1","1","4","182.898","10.702"
"40","Rhian Dobinson","McKendree University","42","193.571","8","0","2","3","4","176.392","17.18"
"41","Gabriella Evans","William Penn University","56","192.446","10","0","2","3","5","169.166","23.28"
